H0 [km s-1 Mpc-1],errors (+),errors (-),Date,Type,Source  (Date = preprint or pub or appearance at conference)
62,7,-7,1998.16,L,"Wambsganss, J. 1998, in Observational Cosmology with New Radio Surveys, Bremer \etal eds (Dordrecht: Kluwer) p 317. SZ to A2218 and A1413"
55,10,-10,1997,AS,"Sandage \& Tammann 1997, Critical Dialogues in Cosmology, N   Turok, ed (Singapore: World Scientific) p130."
67,9,-9,1997.05,S,"Hoeflich, P. \etal SnI Theory BAAS 189 451"
62,4,-4,2001.847,LC,"Gil-Merino, R., Wisotski, L. \& Wambsganss, J. 2001,A\&A in press. HE1104-1805 lens, poor time delay. M/L=C+shear L=0, O=1"
71,4,-3,2003.122,OC,"Spergel, D. et al. ApJ in press. WMAP   astro-ph/0302209"
42,9,-9,1998.883,O,"Collier, S., Horne, K., Wanders, I. \& Peterson, B. 1999, MNRAS 302, L24. Astroph9811278 AGN reverberation mapping"
60,12,-12,1999.447,Z,Reese \etal 46.03 AAS Meeting  SCDM
67,8,-8,1997.02,D,"Hjorth & Tanvir 1997, ApJ 482, 68.  Astroph9701025"
51,5,-5,2002.391,LC,"Kochanek, C. 2002, ApJ in press. astro-ph 0205319. DM Halo M/L"
72,8,-8,2001.964,A,"Lineweaver, C. 2002, in COSMO-01. astro-ph/0112381"
73,11,-13,1999.41,Z,"Mason and Myers, S. 19.04D  AAS Meeting"
48,3,-3,2003.422,LC,"Kochanek, C. \& Schechter, P. 2003, in Carnegie Symp. \#2, astroph0306040,  lenses isothermal, flat rotation curves."
70,7,-7,2004.91,CC,"Chu, M. et al. ApJ in press. Asroph0411737. CMB fits."
67,9,-9,1996.17,S,"Hoeflich, P. \& Khokhlov, A. 1996, ApJ 457, 500. SN Theory"
66,6,-6,1999.669,O,"Hendry, M. \& Rauzy, S. 1999,in Cosmic Flows, Courteau \etal eds."
61,9,-8,2007.949,T,"Sandage, A. 2008, PASP in press. Astroph 0712.2066"
70,9,-9,1995.93,AK,"Freedman, W. 1995, in {\it Science with the Hubble Space Telescope II}, P. Benvenuti, D. Macchetto \& E. Schreier, eds. Pg 3."
58,11,-11,1999.04,OC,"Lineweaver, C. 1999, IAU Symp 183 {\it Cosmological Parameters and the Evolution of the Universe}, K. Sato ed. p 98."
85,20,-17,2003.39,ZC,"Saunders et al 2003, MNRAS 341,937. SZ in A773 LCDM"
66,14,-11,2001.029,ZC,"Mason, B., Myers, S. \& Readhead, A. 2001, ApJL 555, L11.  Ast0101169. (Lambda CDM)"
74,6,-6,2006.75,T,"Masters, K., Springob, C., Haynes, M. \& Giovanelli, R. 2006, ApJ 653, in press. astro-ph/0609249. SFI TF calibration."
55,10,-10,1996.5,AS,"Tammann, G. 1996, Rev Mod Astr 9, 139."
64,4,-4,2000.853,LC,"Giovi, F.\& Amendola, L. 2001, MNRAS 325, 1097. Ast0011109. Filled Beam"
55,7,-7,1995.44,AS,"Sandage, A. \& Tammann, G. 1995, ApJ 446, 1.  Virgo"
82,8,-8,1998.714,G,"Grillmair, C., Forbes, D. Brodie, J. \& Elson, R. 1998, AJ in press (Astroph9809210) Fornax Globs"
62,5,-5,2006.228,SS,"Sandage, A., Tammann, G.A., Saha, A., Reindl, B., Macchetto, F. \& Panagia, N. 2006, ApJ 653, 843. HST Ia Summary. Astroph0603647."
68,13,-13,1999.557,LC,"Koopmans, L. \& Fassnacht, C. 1999, ApJ 527, 513. for M=0.3 L=0.7"
98,12,-11,1996.96,L,"Grogin, N. \& Narayan, R. 1996, ApJ 473, 570 (0957+561 erratum)"
52,4,-4,2008.833,2,"Jones, M. 2008, MSc Thesis, Universidad de Chile. arXiv0810.5538  12 SN II"
77,20,-20,2003.239,Z,"Battistelli, E. et al 2003, ApJL 598, L75. astro-ph/0303587. SZ on Coma."
60,7,-7,2005.9,A,"Paturel, P \& Teerikorpi, P. A\&A 443, 883."
54,14,-14,1997.22,Z,"Myers, S., Baker, J., Readhead, A. Leitch, E. \& Herbig, T. 1997, ApJ 485, 1. % Astroph9703123, OVRO preprint 97-6. SZ in A478, A2142 and A2256"
52,14,-14,1997.368,L,"Kundic \etal Astroph9704109, PG1115+080"
70,4,-4,2000.508,S,"Hernandez, M. \etal 2000, MNRAS in press. ast0007022. SN1998bu"
71,6,-6,2002.949,F,"Mei, S., Scodeggio, M., SDilva, D. \& Quinn, P. 2003, A\&A in press. Astroph0212262. SBF to N564 \& N7619."
65,8,-8,1999.464,A,"Rowan-Robinson, M. 1999,  astroph 9906277. Summary"
50,22,-17,2000.01,Z,"Patel, S., Joy, M., Carlstrom, J., Holder, G., Reese, E., Gomez, P., Hughes, J., Grego, L. \& Holzapfel, W. 1999, BAAS 195, 64.03.  % AAS Mtg Abell 1995"
66,5,-5,2003.25,A,"Melchiorri, A., Bode,P., Bahcall,N. \& Silk,J. 2003, ApJL 586, L12. ArXiv0212276."
55,3,-3,1996.26,S,"Schaefer, B. 1996, ApJL 460, L19. SN 1960F"
58,6,-6,1995.25,Z,"Rephaeli 1995, Ann. Rev A\&A 33, 541, SZ Summary"
60,10,-10,1998.775,O,"Paturel, G. \etal 1998, A\&A 339, 6771. Hipparcos + sosies Astroph9810155"
65,2,-2,2000.591,S,"Filippenko, A. \& Riess, A. 2000, in Second Tropical Workshop on Particle Physics and Cosmology: Neutrino and Flavor Physics, ed. J. F. Nieves (New York: American Institute of Physics) Astroph0008057. statistical errors only"
62,7,-7,2002.263,L,"Kochanek, C. 2002, ApJ in press. Average. astroph0204043"
87,11,-11,1998.6,F,"Jensen, J., Tonry, J. \& Luppino, G. 1999, ApJ 510, 71. Astroph 9807326.  SBF to Hydra and Coma"
77,4,-4,1998.756,R,"Tully R. 1998, in Post-Hipparcos Cosmic Candles, Caputo \& Heck, eds. Astroph9809394."
79,4,-4,2000.984,C,"Lahav, O. 2001, in AU Symposium 201, New Cosmological Data and the Values of the Fundamental Parameters'. ast0012475"
79,7,-7,1999.446,S,Tonry \etal AAS
50,20,-20,1997.625,C,"Hancock \etal Astroph9708254, CMB Fluct MNRAS 294, L1 (1998)"
55,10,-10,1996.93,AS,"Tammann, G. 1996, PASP 108, 1083.  A Discourse."
70,7,-7,1997.02,D,"Hjorth & Tanvir , N.1997, ApJ 482, 68.  Astroph9701025"
57,2,-2,2003.215,AS,"Tammann, G., Sandage, A. \& Reindel, B. 2003, A\&A in press. Astroph0303378."
70,2,-2,2006.39,SC,"Carneiro, S., Pigozzo, C., Borges, H. \& Alcaniz, J. astroph0605607."
50,2,-2,1996,AS,"Tammann, G. \& Sandage, A. 1996in IAU Symp 168, {\it Examining the Black Body and Diffuse Background Raduation}, M. Kafatos, ed. (Dordrecht: Kluwer) p163."
92,12,-12,1997.15,O,"Bizyaev, D. Astronom. Zhurnal 74, 172 (1997) Spiral Disks"
80,17,-17,1995.791,TK,"Kennicutt, Freedman \& Mould, 1995, AJ 110, 1476"
60,10,-10,1996.48,A,"Gouguemheim, L. \etal 1996, Rev Mod Astr 9, 127."
60,3,-3,1996.379,SS,"Saha, A. 1997, in CDS, Livio \etal eds (Cambridge: Cambridge) p128"
70,12,-12,1999.98,O,"Novosyadlyj, B. \etal A\&A submitted. Ast9912511. LSS Theory"
